Description,Parent,Current Budget,Rec. Budget 2024
City Council A1010,,211439.8,227014
Permanent Salaries - A1010,City Council A1010,122500,122500
Office Supplies - A1010,City Council A1010,2000,2000
Other Material & Supplies - A1010,City Council A1010,2100,2100
Postage - A1010,City Council A1010,500,500
Printing & Advertising - A1010,City Council A1010,1000,1000
Neighborhood Improvements - A1010,City Council A1010,15844,10000
Consultant Services - A1010,City Council A1010,43500,65000
Training - A1010,City Council A1010,300,300
Pension - ERS - A1010,City Council A1010,14324,14243
Social Security - A1010,City Council A1010,9371,9371
Council Member 1 - A1010,Permanent Salaries - A1010,15000,15000
Council Member 2 - A1010,Permanent Salaries - A1010,15000,15000
Council Member 3 - A1010,Permanent Salaries - A1010,15000,15000
Council Member 4 - A1010,Permanent Salaries - A1010,15000,15000
Council Member 5 - A1010,Permanent Salaries - A1010,15000,15000
Legislative Assistant - A1010,Permanent Salaries - A1010,10000,10000
President Pro Temp of Council - A1010,Permanent Salaries - A1010,17500,17500
President of Council - A1010,Permanent Salaries - A1010,20000,20000
Municipal Court A1110,,135000,100000
Consultant Services - A1110,Municipal Court A1110,135000,100000
Mayor A1210,,515354,466911
Permanent Salaries - A1210,Mayor A1210,367994,350494
Longevity - A1210,Mayor A1210,1800,800
Office Supplies - A1210,Mayor A1210,750,750
Other Material & Supplies - A1210,Mayor A1210,250,250
Postage - A1210,Mayor A1210,150,150
Printing & Advertising - A1210,Mayor A1210,0,550
Repairs - Equipment - A1210,Mayor A1210,110,300
Dues & Subscriptions - A1210,Mayor A1210,990,500
Training - A1210,Mayor A1210,1000,750
Pension - ERS - A1210,Mayor A1210,43240,40844
Health Insurance - A1210,Mayor A1210,66591,41268
Social Security - A1210,Mayor A1210,28289,26874
Dental Insurance - A1210,Mayor A1210,4190,3381
Confidential ASST to Mayor - A1210,Permanent Salaries - A1210,48728,48728
Deputy Director Public Info - A1210,Permanent Salaries - A1210,60000,60000
Deputy Mayor - A1210,Permanent Salaries - A1210,94266,94266
Directory DEI - A1210,Permanent Salaries - A1210,0,70000
Mayor - A1210,Permanent Salaries - A1210,95000,95000
Salary Savings - A1210,Permanent Salaries - A1210,0,-17500
Finance - Comptroller - A1315,,1160814.78,1081077
Permanent Salaries - A1315,Finance - Comptroller - A1315,688255,667683
Temporary Salaries - A1315,Finance - Comptroller - A1315,15000,15000
